time_s,target_dof_right_hip_pitch_04,target_dof_right_hip_roll_03,target_dof_right_hip_yaw_03,target_dof_right_knee_04,target_dof_right_ankle_02,target_dof_left_hip_pitch_04,target_dof_left_hip_roll_03,target_dof_left_hip_yaw_03,target_dof_left_knee_04,target_dof_left_ankle_02,torque_dof_right_hip_pitch_04,torque_dof_right_hip_roll_03,torque_dof_right_hip_yaw_03,torque_dof_right_knee_04,torque_dof_right_ankle_02,torque_dof_left_hip_pitch_04,torque_dof_left_hip_roll_03,torque_dof_left_hip_yaw_03,torque_dof_left_knee_04,torque_dof_left_ankle_02,pos_dof_right_hip_pitch_04,pos_dof_right_hip_roll_03,pos_dof_right_hip_yaw_03,pos_dof_right_knee_04,pos_dof_right_ankle_02,pos_dof_left_hip_pitch_04,pos_dof_left_hip_roll_03,pos_dof_left_hip_yaw_03,pos_dof_left_knee_04,pos_dof_left_ankle_02,vel_dof_right_hip_pitch_04,vel_dof_right_hip_roll_03,vel_dof_right_hip_yaw_03,vel_dof_right_knee_04,vel_dof_right_ankle_02,vel_dof_left_hip_pitch_04,vel_dof_left_hip_roll_03,vel_dof_left_hip_yaw_03,vel_dof_left_knee_04,vel_dof_left_ankle_02
14.4,-0.4082,-0.278581,-0.128121,-0.801105,0.431624,0.199047,-0.110917,-0.131646,0.657917,-0.398081,-2.3981,0.0954,-1.2849,12.3717,0.7784,-0.4253,3.4557,-1.5648,-8.3671,2.0283,-0.392028,-0.278862,-0.115207,-0.883596,0.412181,0.202358,-0.128268,-0.115944,0.713629,-0.448663,-0.001124,-0.001485,-0.001909,0.000231,-0.000764,-0.002886,0.000549,-0.001593,0.001196,-0.005129
14.42,-0.408185,-0.278621,-0.128158,-0.801115,0.431577,0.199,-0.110905,-0.131668,0.657952,-0.398055,-2.3928,0.0938,-1.2846,12.3697,0.7772,-0.4233,3.4559,-1.5637,-8.3654,2.0335,-0.39205,-0.278892,-0.115246,-0.883592,0.412166,0.2023,-0.128257,-0.115976,0.713652,-0.448765,-0.001109,-0.001498,-0.001922,0.000221,-0.000762,-0.002896,0.000545,-0.001592,0.001197,-0.00512
14.44,-0.408168,-0.278661,-0.128195,-0.801125,0.431531,0.198954,-0.110894,-0.131689,0.657987,-0.398029,-2.3874,0.0921,-1.2844,12.3676,0.7759,-0.4213,3.4561,-1.5626,-8.3638,2.0386,-0.392072,-0.278923,-0.115285,-0.883588,0.412151,0.202241,-0.128246,-0.116008,0.713677,-0.448868,-0.001093,-0.00151,-0.001935,0.000212,-0.00076,-0.002906,0.000542,-0.001592,0.001199,-0.005111
14.46,-0.408151,-0.278702,-0.128232,-0.801135,0.431483,0.198907,-0.110882,-0.13171,0.658022,-0.398004,-2.382,0.0905,-1.2841,12.3656,0.7747,-0.4193,3.4564,-1.5616,-8.3622,2.0437,-0.392094,-0.278953,-0.115324,-0.883584,0.412136,0.202183,-0.128235,-0.11604,0.713701,-0.44897,-0.001077,-0.001523,-0.001948,0.000203,-0.00076,-0.002917,0.000539,-0.001591,0.001201,-0.005101
14.48,-0.408133,-0.278742,-0.12827,-0.801145,0.431435,0.19886,-0.110871,-0.131731,0.658057,-0.397979,-2.3765,0.089,-1.2839,12.3635,0.7733,-0.4173,3.4566,-1.5605,-8.3606,2.0488,-0.392115,-0.278984,-0.115364,-0.88358,0.41212,0.202124,-0.128225,-0.116072,0.713725,-0.449072,-0.001061,-0.001535,-0.001961,0.000195,-0.000761,-0.002927,0.000535,-0.001589,0.001203,-0.005091
14.5,-0.408113,-0.278783,-0.128307,-0.801156,0.431387,0.198813,-0.110859,-0.131752,0.658092,-0.397954,-2.3709,0.0874,-1.2836,12.3614,0.772,-0.4152,3.4569,-1.5594,-8.359,2.0538,-0.392136,-0.279015,-0.115404,-0.883576,0.412105,0.202066,-0.128214,-0.116104,0.713749,-0.449173,-0.001044,-0.001548,-0.001974,0.000187,-0.000763,-0.002938,0.000532,-0.001588,0.001206,-0.00508
14.52,-0.408093,-0.278823,-0.128345,-0.801167,0.431338,0.198766,-0.110848,-0.131773,0.658126,-0.39793,-2.3652,0.0859,-1.2834,12.3593,0.7707,-0.4131,3.4571,-1.5583,-8.3575,2.0588,-0.392156,-0.279047,-0.115444,-0.883573,0.41209,0.202007,-0.128203,-0.116135,0.713773,-0.449275,-0.001026,-0.00156,-0.001986,0.000179,-0.000767,-0.002949,0.000528,-0.001586,0.00121,-0.005068
14.54,-0.408073,-0.278863,-0.128384,-0.801178,0.431289,0.19872,-0.110837,-0.131794,0.658161,-0.397907,-2.3595,0.0845,-1.2832,12.3571,0.7694,-0.411,3.4574,-1.5573,-8.3559,2.0638,-0.392176,-0.279078,-0.115484,-0.883569,0.412074,0.201947,-0.128193,-0.116167,0.713797,-0.449376,-0.001008,-0.001572,-0.001998,0.000171,-0.000771,-0.002959,0.000525,-0.001584,0.001213,-0.005056
14.56,-0.408051,-0.278904,-0.128423,-0.80119,0.43124,0.198673,-0.110826,-0.131815,0.658196,-0.397884,-2.3537,0.0831,-1.2829,12.355,0.768,-0.4089,3.4576,-1.5562,-8.3544,2.0687,-0.392196,-0.27911,-0.115525,-0.883566,0.412059,0.201888,-0.128183,-0.116199,0.713822,-0.449477,-0.00099,-0.001584,-0.00201,0.000164,-0.000776,-0.00297,0.000521,-0.001582,0.001218,-0.005043
14.58,-0.408029,-0.278944,-0.128462,-0.801202,0.43119,0.198626,-0.110815,-0.131836,0.658231,-0.397862,-2.3479,0.0817,-1.2827,12.3529,0.7666,-0.4067,3.4578,-1.5551,-8.3529,2.0736,-0.392215,-0.279142,-0.115565,-0.883563,0.412043,0.201828,-0.128172,-0.116231,0.713846,-0.449578,-0.000972,-0.001596,-0.002021,0.000157,-0.000783,-0.002982,0.000518,-0.001579,0.001223,-0.00503
14.6,-0.408005,-0.278985,-0.128501,-0.801213,0.43114,0.198579,-0.110804,-0.131856,0.658265,-0.397841,-2.3421,0.0804,-1.2825,12.3507,0.7653,-0.4044,3.4581,-1.554,-8.3514,2.0785,-0.392235,-0.279175,-0.115606,-0.88356,0.412028,0.201768,-0.128162,-0.116262,0.713871,-0.449678,-0.000953,-0.001607,-0.002032,0.000151,-0.000791,-0.002993,0.000515,-0.001577,0.001228,-0.005016
14.62,-0.407982,-0.279025,-0.12854,-0.801225,0.431089,0.198532,-0.110793,-0.131877,0.6583,-0.39782,-2.3361,0.0792,-1.2823,12.3485,0.7639,-0.4022,3.4583,-1.5529,-8.35,2.0833,-0.392253,-0.279207,-0.115648,-0.883557,0.412012,0.201708,-0.128152,-0.116294,0.713895,-0.449779,-0.000935,-0.001618,-0.002043,0.000145,-0.000799,-0.003004,0.000511,-0.001574,0.001234,-0.005002
14.64,-0.407957,-0.279065,-0.12858,-0.801238,0.431038,0.198485,-0.110782,-0.131897,0.658334,-0.397801,-2.3302,0.078,-1.2821,12.3464,0.7625,-0.3999,3.4585,-1.5518,-8.3486,2.0881,-0.392272,-0.27924,-0.115689,-0.883555,0.411995,0.201648,-0.128142,-0.116325,0.71392,-0.449879,-0.000916,-0.001629,-0.002053,0.000139,-0.000809,-0.003015,0.000508,-0.00157,0.00124,-0.004987
14.66,-0.407932,-0.279105,-0.12862,-0.80125,0.430986,0.198438,-0.110772,-0.131918,0.658369,-0.397782,-2.3242,0.0769,-1.2819,12.3442,0.7611,-0.3976,3.4587,-1.5507,-8.3472,2.0928,-0.392289,-0.279273,-0.115731,-0.883552,0.411979,0.201587,-0.128132,-0.116357,0.713945,-0.449978,-0.000896,-0.00164,-0.002063,0.000134,-0.00082,-0.003026,0.000504,-0.001567,0.001247,-0.004971
14.68,-0.407906,-0.279145,-0.12866,-0.801262,0.430935,0.198391,-0.110761,-0.131938,0.658403,-0.397764,-2.3182,0.0759,-1.2817,12.342,0.7597,-0.3952,3.4589,-1.5496,-8.3459,2.0974,-0.392307,-0.279306,-0.115773,-0.88355,0.411963,0.201526,-0.128122,-0.116388,0.71397,-0.450078,-0.000877,-0.001651,-0.002072,0.000129,-0.000832,-0.003037,0.000501,-0.001563,0.001254,-0.004956
14.7,-0.40788,-0.279184,-0.128701,-0.801275,0.430883,0.198344,-0.110751,-0.131958,0.658437,-0.397747,-2.3121,0.0749,-1.2815,12.3397,0.7583,-0.3928,3.4591,-1.5485,-8.3446,2.1021,-0.392324,-0.27934,-0.115815,-0.883547,0.411946,0.201465,-0.128112,-0.116419,0.713995,-0.450177,-0.000858,-0.001661,-0.002081,0.000124,-0.000845,-0.003048,0.000498,-0.001558,0.001262,-0.00494
14.72,-0.407853,-0.279224,-0.128741,-0.801288,0.43083,0.198297,-0.11074,-0.131978,0.658472,-0.397731,-2.306,0.074,-1.2813,12.3375,0.7569,-0.3903,3.4593,-1.5474,-8.3434,2.1066,-0.392341,-0.279373,-0.115857,-0.883545,0.411929,0.201404,-0.128102,-0.11645,0.714021,-0.450275,-0.000838,-0.001671,-0.00209,0.00012,-0.000859,-0.003059,0.000495,-0.001554,0.00127,-0.004923
14.74,-0.407825,-0.279263,-0.128782,-0.801301,0.430777,0.198251,-0.11073,-0.131998,0.658506,-0.397716,-2.2999,0.0732,-1.2811,12.3353,0.7555,-0.3878,3.4595,-1.5463,-8.3422,2.1111,-0.392357,-0.279407,-0.115899,-0.883543,0.411911,0.201342,-0.128092,-0.116482,0.714046,-0.450374,-0.000819,-0.00168,-0.002098,0.000117,-0.000874,-0.00307,0.000492,-0.001549,0.001278,-0.004906
14.76,-0.407797,-0.279302,-0.128823,-0.801314,0.430724,0.198204,-0.11072,-0.132018,0.658539,-0.397703,-2.2938,0.0725,-1.2809,12.333,0.7541,-0.3853,3.4596,-1.5452,-8.341,2.1156,-0.392373,-0.279441,-0.115942,-0.883541,0.411894,0.20128,-0.128083,-0.116513,0.714072,-0.450472,-0.000799,-0.00169,-0.002105,0.000114,-0.00089,-0.003081,0.000488,-0.001544,0.001287,-0.004889
14.78,-0.407768,-0.279341,-0.128865,-0.801327,0.430671,0.198158,-0.11071,-0.132037,0.658573,-0.39769,-2.2876,0.0718,-1.2808,12.3308,0.7527,-0.3827,3.4598,-1.5441,-8.3399,2.12,-0.392389,-0.279475,-0.115985,-0.883538,0.411876,0.201219,-0.128073,-0.116543,0.714098,-0.450569,-0.00078,-0.001698,-0.002113,0.000111,-0.000907,-0.003092,0.000485,-0.001538,0.001297,-0.004871
14.8,-0.407739,-0.279379,-0.128906,-0.80134,0.430617,0.198111,-0.1107,-0.132057,0.658607,-0.397678,-2.2815,0.0712,-1.2806,12.3285,0.7513,-0.3801,3.4599,-1.543,-8.3389,2.1243,-0.392404,-0.27951,-0.116027,-0.883536,0.411857,0.201156,-0.128063,-0.116574,0.714124,-0.450666,-0.00076,-0.001707,-0.002119,0.000109,-0.000925,-0.003102,0.000483,-0.001533,0.001306,-0.004853
14.82,-0.40771,-0.279417,-0.128948,-0.801354,0.430562,0.198065,-0.11069,-0.132076,0.65864,-0.397667,-2.2753,0.0706,-1.2805,12.3262,0.7499,-0.3774,3.46,-1.5419,-8.3379,2.1286,-0.392419,-0.279544,-0.11607,-0.883534,0.411838,0.201094,-0.128054,-0.116605,0.71415,-0.450763,-0.00074,-0.001715,-0.002125,0.000107,-0.000944,-0.003112,0.00048,-0.001527,0.001316,-0.004834
14.84,-0.40768,-0.279455,-0.12899,-0.801367,0.430508,0.198019,-0.110681,-0.132095,0.658674,-0.397658,-2.2692,0.0702,-1.2803,12.3239,0.7485,-0.3747,3.4601,-1.5407,-8.3369,2.1329,-0.392433,-0.279579,-0.116114,-0.883532,0.411819,0.201031,-0.128044,-0.116635,0.714177,-0.45086,-0.000721,-0.001723,-0.002131,0.000105,-0.000964,-0.003122,0.000477,-0.00152,0.001327,-0.004816
14.86,-0.407649,-0.279493,-0.129032,-0.801381,0.430453,0.197973,-0.110671,-0.132114,0.658707,-0.397649,-2.263,0.0698,-1.2802,12.3216,0.7471,-0.3719,3.4602,-1.5396,-8.3361,2.137,-0.392447,-0.279614,-0.116157,-0.88353,0.4118,0.200969,-0.128035,-0.116666,0.714203,-0.450956,-0.000702,-0.001731,-0.002136,0.000104,-0.000984,-0.003132,0.000474,-0.001514,0.001337,-0.004797
14.88,-0.407619,-0.27953,-0.129074,-0.801394,0.430397,0.197927,-0.110662,-0.132132,0.65874,-0.397642,-2.2568,0.0695,-1.2801,12.3192,0.7457,-0.3691,3.4602,-1.5385,-8.3352,2.1411,-0.392461,-0.279649,-0.1162,-0.883528,0.41178,0.200906,-0.128025,-0.116696,0.71423,-0.451052,-0.000682,-0.001738,-0.002141,0.000104,-0.001006,-0.003142,0.000472,-0.001507,0.001348,-0.004777
14.9,-0.407588,-0.279568,-0.129117,-0.801408,0.430341,0.197881,-0.110653,-0.132151,0.658773,-0.397636,-2.2506,0.0693,-1.28,12.3169,0.7443,-0.3663,3.4603,-1.5373,-8.3345,2.1452,-0.392474,-0.279684,-0.116243,-0.883527,0.411759,0.200843,-0.128016,-0.116726,0.714257,-0.451147,-0.000663,-0.001745,-0.002146,0.000104,-0.001028,-0.003151,0.000469,-0.0015,0.001359,-0.004758
14.92,-0.407556,-0.279604,-0.129159,-0.801422,0.430285,0.197836,-0.110644,-0.132169,0.658805,-0.397631,-2.2445,0.0692,-1.2799,12.3145,0.7429,-0.3633,3.4603,-1.5362,-8.3338,2.1491,-0.392487,-0.279719,-0.116287,-0.883525,0.411739,0.200779,-0.128007,-0.116756,0.714285,-0.451242,-0.000644,-0.001751,-0.00215,0.000104,-0.001051,-0.003161,0.000467,-0.001492,0.001371,-0.004738
14.94,-0.407525,-0.279641,-0.129202,-0.801436,0.430229,0.197791,-0.110635,-0.132187,0.658838,-0.397628,-2.2383,0.0691,-1.2798,12.3122,0.7415,-0.3604,3.4603,-1.5351,-8.3332,2.153,-0.392499,-0.279755,-0.11633,-0.883523,0.411717,0.200716,-0.127998,-0.116786,0.714312,-0.451337,-0.000625,-0.001758,-0.002153,0.000105,-0.001075,-0.00317,0.000465,-0.001485,0.001383,-0.004717
14.96,-0.407493,-0.279677,-0.129245,-0.80145,0.430172,0.197746,-0.110626,-0.132205,0.65887,-0.397625,-2.2322,0.0691,-1.2797,12.3098,0.7402,-0.3574,3.4603,-1.5339,-8.3326,2.1569,-0.392512,-0.27979,-0.116374,-0.883521,0.411695,0.200652,-0.127988,-0.116816,0.71434,-0.451431,-0.000607,-0.001764,-0.002156,0.000106,-0.001099,-0.003178,0.000462,-0.001477,0.001394,-0.004697
14.98,-0.407461,-0.279713,-0.129288,-0.801464,0.430115,0.197701,-0.110617,-0.132223,0.658902,-0.397624,-2.2261,0.0693,-1.2796,12.3074,0.7388,-0.3544,3.4602,-1.5328,-8.3321,2.1607,-0.392523,-0.279826,-0.116418,-0.883519,0.411673,0.200588,-0.127979,-0.116845,0.714368,-0.451525,-0.000588,-0.001769,-0.002159,0.000107,-0.001125,-0.003187,0.00046,-0.001469,0.001407,-0.004676
15.0,-0.407428,-0.279748,-0.129331,-0.801478,0.430057,0.197656,-0.110609,-0.132241,0.658934,-0.397624,-2.2199,0.0695,-1.2796,12.3049,0.7374,-0.3513,3.4602,-1.5316,-8.3317,2.1644,-0.392535,-0.279861,-0.116461,-0.883517,0.41165,0.200524,-0.12797,-0.116874,0.714397,-0.451618,-0.00057,-0.001774,-0.002161,0.000109,-0.00115,-0.003195,0.000458,-0.00146,0.001419,-0.004655
15.02,-0.407396,-0.279783,-0.129374,-0.801492,0.429999,0.197611,-0.1106,-0.132258,0.658966,-0.397626,-2.2138,0.0697,-1.2795,12.3025,0.736,-0.3481,3.4601,-1.5305,-8.3313,2.168,-0.392546,-0.279897,-0.116505,-0.883515,0.411627,0.20046,-0.127961,-0.116904,0.714425,-0.451711,-0.000552,-0.001779,-0.002163,0.000111,-0.001177,-0.003203,0.000456,-0.001452,0.001432,-0.004634
